pair,split,confidence,agree_accuracy,disagree_accuracy,accuracy_penalty,agree_error_rate,disagree_error_rate,error_rate_increase,agree_coverage,disagree_coverage,agree_n,disagree_n
strong1-middle,id,high,0.9773964001674341,0.9573170731707317,0.02007932699670245,0.02260359983256588,0.04268292682926833,0.02007932699670245,0.5308888888888889,0.07288888888888889,2389,328
strong1-middle,id,low,0.9077711357813835,0.6879084967320261,0.21986263904935732,0.09222886421861654,0.31209150326797386,0.21986263904935732,0.26022222222222224,0.136,1171,612
strong1-middle,ood,high,0.0,0.0,0.0,1.0,1.0,0.0,0.026,0.007,26,7
strong1-middle,ood,low,0.11290322580645161,0.701067615658363,-0.5881643898519113,0.8870967741935484,0.29893238434163705,-0.5881643898519113,0.124,0.843,124,843
strong1-middle,overall,high,0.9668737060041408,0.9373134328358209,0.029560273168319884,0.0331262939958592,0.06268656716417909,0.029560273168319884,0.4390909090909091,0.060909090909090906,2415,335
strong1-middle,overall,low,0.8316602316602316,0.6955326460481099,0.13612758561212168,0.16833976833976838,0.30446735395189006,0.13612758561212168,0.23545454545454544,0.26454545454545453,1295,1455
strong1-strong2,id,high,0.9757824143070045,0.9090909090909091,0.06669150521609546,0.02421758569299548,0.09090909090909094,0.06669150521609546,0.5964444444444444,0.007333333333333333,2684,33
strong1-strong2,id,low,0.9130742049469964,0.5217391304347826,0.39133507451221383,0.08692579505300357,0.4782608695652174,0.39133507451221383,0.31444444444444447,0.08177777777777778,1415,368
strong1-strong2,ood,high,0.0,0.0,0.0,1.0,1.0,0.0,0.031,0.002,31,2
strong1-strong2,ood,low,0.21830985915492956,0.6957575757575758,-0.47744771660264623,0.7816901408450705,0.3042424242424242,-0.4774477166026463,0.142,0.825,142,825
strong1-strong2,overall,high,0.9646408839779006,0.8571428571428571,0.1074980268350435,0.0353591160220994,0.1428571428571429,0.1074980268350435,0.49363636363636365,0.006363636363636364,2715,35
strong1-strong2,overall,low,0.8497109826589595,0.6420787929589271,0.2076321897000324,0.1502890173410405,0.3579212070410729,0.2076321897000324,0.2830909090909091,0.2169090909090909,1557,1193
strong1-weak,id,high,0.9815583218072844,0.948905109489051,0.03265321231823337,0.018441678192715583,0.051094890510948954,0.03265321231823337,0.482,0.12177777777777778,2169,548
strong1-weak,id,low,0.9178470254957507,0.7071823204419889,0.21066470505376178,0.0821529745042493,0.2928176795580111,0.21066470505376178,0.23533333333333334,0.1608888888888889,1059,724
strong1-weak,ood,high,0.0,0.0,0.0,1.0,1.0,0.0,0.021,0.012,21,12
strong1-weak,ood,low,0.11403508771929824,0.694021101992966,-0.5799860142736677,0.8859649122807017,0.30597889800703404,-0.5799860142736677,0.114,0.853,114,853
strong1-weak,overall,high,0.9721461187214612,0.9285714285714286,0.04357469015003257,0.027853881278538828,0.0714285714285714,0.04357469015003257,0.3981818181818182,0.10181818181818182,2190,560
strong1-weak,overall,low,0.8397271952259164,0.7000634115409005,0.13966378368501597,0.16027280477408357,0.29993658845909954,0.13966378368501597,0.21327272727272728,0.2867272727272727,1173,1577
